Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
18-24,10001-20000,Tourist,South Asian,Explorer,Once/week,75.15,Lunch,Weekends,Dine-in,2 people,<3km,Indian/Pakistani,Budget/Casual,JBR,Not sensitive,Definitely not,Unfair,Not important,10%,No impact,"Apr-Jun, Jul-Sep",2,"Unpredictable pricing, Hard to find tables",Real-time pricing,Medium,0.95,64.1,75.15,71.39,5.0,,,2,No
55+,>35000,Family,South Asian,Few regulars,Once/week,572.06,Lunch,Both,Takeaway,3-4 people,3-7km,Fast Food,Premium/Fine Dining,Mall,Not sensitive,Definitely not,Somewhat fair,Not important,5%,No impact,"Jan-Mar, Oct-Dec, Apr-Jun",5,"Hard to find tables, High weekend prices, High delivery fees, Unpredictable pricing",Table availability,Medium,1.0,,572.06,572.06,0.0,6.7,36.0,5,Yes
18-24,<5000,Student,African,Explorer,2-3/month,21.49,Dinner,Weekends,Dine-in,Alone,7-15km,Western,Budget/Casual,Deira,Very sensitive,Probably not,Very unfair,Very important,20%,Switch to delivery in heat,"Apr-Jun, Jan-Mar",4,"High weekend prices, High delivery fees, Limited discounts, Unpredictable pricing",Wait time estimate,High,1.19,81.6,21.49,25.57,0.0,,,4,Yes
25-34,5000-10000,Professional,South Asian,Few regulars,2-3/month,53.31,Late Night,Weekends,Delivery App,Alone,<3km,Indian/Pakistani,Mid-range,Business Bay,Moderately sensitive,Definitely yes,Unfair,Very important,15%,No impact,Jan-Mar,4,Crowded restaurants,"Loyalty rewards, Wait time estimate, Group dining deals",High,1.25,,53.31,66.64,0.0,1.5,34.0,4,No
45-54,10001-20000,Family,South Asian,Loyal to 1-2,Once/week,115.67,Breakfast,Both,Delivery App,2 people,7-15km,Asian,Mid-range,Business Bay,Moderately sensitive,Probably not,Unfair,Moderately important,15%,No impact,"Jan-Mar, Oct-Dec, Jul-Sep",4,"High weekend prices, Long wait times","Table availability, Real-time pricing, Low-demand discounts",Medium,0.97,,115.67,112.2,3.0,7.0,32.0,4,Yes
18-24,5000-10000,Professional,African,Explorer,2-3/month,26.64,Dinner,Weekdays,Delivery App,Alone,3-7km,Indian/Pakistani,Budget/Casual,Deira,Very sensitive,Definitely yes,Neutral,Slightly important,20%,Switch to delivery in heat,Jan-Mar,4,Long delivery time,"Low-demand discounts, Wait time estimate, Loyalty rewards, Demand alerts",Medium,0.85,,26.64,22.64,15.0,5.6,34.0,4,Yes
25-34,10001-20000,Professional,South Asian,Few regulars,Once/month,110.56,Lunch,Both,Dine-in,Alone,7-15km,Asian,Premium/Fine Dining,DIFC,Very sensitive,Probably yes,Neutral,Extremely important,20%,Switch to delivery in heat,"Jan-Mar, Jul-Sep, Oct-Dec",5,Long wait times,Personalised discounts,Medium,1.04,73.7,110.56,114.98,0.0,,,5,Yes
45-54,20001-35000,Professional,Western Expat,Loyal to 1-2,Once/week,209.92,Dinner,Both,Dine-in,3-4 people,3-7km,Western,Depends on occasion,Deira,Moderately sensitive,Probably yes,Somewhat fair,Slightly important,15%,Outdoor dining in pleasant weather,"Apr-Jun, Jan-Mar",3,"Long wait times, Limited discounts, Unpredictable pricing","Wait time estimate, Loyalty rewards, Real-time pricing",High,1.18,98.3,209.92,247.71,0.0,,,3,Yes
35-44,>35000,Professional,South Asian,Few regulars,2-3/month,416.51,Dinner,Both,Takeaway,2 people,7-15km,Indian/Pakistani,Premium/Fine Dining,Downtown,Very sensitive,Probably yes,Very unfair,Very important,15%,Switch to delivery in heat,"Jul-Sep, Oct-Dec, Apr-Jun",4,"High delivery fees, Limited discounts, Long wait times, Unpredictable pricing","Table availability, Group dining deals",High,1.31,,416.51,545.63,0.0,13.8,47.0,4,Yes
35-44,20001-35000,Student,South Asian,Loyalty program user,Multiple/week,277.94,Lunch,Both,Delivery App,2 people,<3km,Indian/Pakistani,Premium/Fine Dining,Downtown,Moderately sensitive,Definitely not,Very unfair,Slightly important,20%,Switch to delivery in heat,"Jul-Sep, Apr-Jun",5,"Hard to find tables, Limited discounts, High weekend prices, Long delivery time","Loyalty rewards, Low-demand discounts, Table availability",Medium,1.09,,277.94,302.95,0.0,1.8,18.0,5,Yes
45-54,5000-10000,Professional,South Asian,Explorer,2-3/month,76.06,Breakfast,Weekends,Dine-in,2 people,3-7km,Indian/Pakistani,Depends on occasion,Mall,Very sensitive,Probably not,Very unfair,Moderately important,10%,Switch to delivery in heat,Jul-Sep,3,"Long wait times, Crowded restaurants, High weekend prices","Loyalty rewards, Table availability",Medium,1.01,47.8,76.06,76.82,0.0,,,3,Yes
18-24,<5000,Student,Arab,Explorer,2-3/month,36.43,Late Night,Weekends,Delivery App,2 people,<3km,Arabic,Budget/Casual,Deira,Moderately sensitive,Definitely not,Unfair,Extremely important,>20%,Switch to delivery in heat,"Apr-Jun, Jul-Sep",3,Limited discounts,"Group dining deals, Real-time pricing",Medium,0.96,,36.43,34.97,4.0,3.0,25.0,3,Yes
35-44,20001-35000,Professional,Western Expat,Loyalty program user,Once/month,125.89,Dinner,Weekends,Takeaway,2 people,3-7km,Western,Mid-range,Downtown,Very sensitive,Probably yes,Very unfair,Very important,20%,Switch to delivery in heat,"Jan-Mar, Oct-Dec, Apr-Jun",3,"Hard to find tables, Unpredictable pricing, Crowded restaurants, Long delivery time",Table availability,High,1.24,,125.89,156.1,0.0,3.4,24.0,3,Yes
18-24,<5000,Student,East Asian,Loyal to 1-2,Once/week,34.3,Breakfast,Weekends,Delivery App,3-4 people,3-7km,Fast Food,Budget/Casual,Deira,Slightly sensitive,Maybe,Somewhat fair,Slightly important,5%,Switch to delivery in heat,"Jul-Sep, Apr-Jun",4,"Long delivery time, Long wait times, Crowded restaurants","Personalised discounts, Table availability",Medium,0.91,,34.3,31.21,9.0,5.7,28.0,4,No
45-54,<5000,Professional,South Asian,Few regulars,Once/week,50.01,Lunch,Weekdays,Dine-in,5+,<3km,Indian/Pakistani,Mid-range,Mall,Moderately sensitive,Definitely yes,Very unfair,Very important,20%,Switch to delivery in heat,Jan-Mar,5,High delivery fees,"Low-demand discounts, Wait time estimate",Medium,0.96,57.4,50.01,48.01,4.0,,,5,No
18-24,10001-20000,Student,South Asian,Few regulars,Once/week,94.9,Dinner,Both,Delivery App,Alone,<3km,Indian/Pakistani,Mid-range,Deira,Moderately sensitive,Definitely yes,Neutral,Moderately important,20%,Switch to delivery in heat,"Apr-Jun, Jan-Mar",4,"Hard to find tables, High weekend prices","Wait time estimate, Low-demand discounts, Personalised discounts, Loyalty rewards",High,1.24,,94.9,117.68,0.0,2.4,21.0,4,Yes
25-34,<5000,Professional,Arab,Loyal to 1-2,Once/month,35.9,Breakfast,Both,Restaurant App,Alone,<3km,Asian,Budget/Casual,Deira,Very sensitive,Probably yes,Somewhat fair,Very important,20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec, Apr-Jun",4,Crowded restaurants,Demand alerts,Medium,0.92,,35.9,33.03,8.0,2.7,23.0,4,Yes
18-24,5000-10000,Professional,Arab,Explorer,Once/week,59.84,Late Night,Weekdays,Dine-in,2 people,<3km,Healthy/Vegan,Mid-range,JBR,Moderately sensitive,Definitely yes,Somewhat fair,Moderately important,15%,Dine-in more during heat,"Oct-Dec, Jan-Mar",4,"Limited discounts, Long wait times","Personalised discounts, Wait time estimate, Table availability",Medium,1.03,58.3,59.84,61.64,0.0,,,4,Yes
18-24,<5000,Professional,East Asian,Few regulars,Once/week,49.02,Breakfast,Weekends,Delivery App,2 people,<3km,Western,Mid-range,Mall,Moderately sensitive,Maybe,Very fair,Very important,10%,Dine-in more during heat,"Oct-Dec, Jan-Mar, Apr-Jun",3,"Long wait times, High delivery fees, Long delivery time","Wait time estimate, Low-demand discounts",Medium,0.96,,49.02,47.06,4.0,2.0,26.0,3,Yes
18-24,<5000,Student,South Asian,Few regulars,Multiple/week,31.83,Dinner,Both,Delivery App,2 people,<3km,Indian/Pakistani,Budget/Casual,DIFC,Very sensitive,Probably yes,Neutral,Extremely important,10%,Dine-in more during heat,"Jan-Mar, Apr-Jun",4,Unpredictable pricing,"Group dining deals, Real-time pricing",High,1.15,,31.83,36.6,0.0,1.2,12.0,4,Yes
25-34,10001-20000,Family,African,Loyal to 1-2,Once/month,153.5,Lunch,Weekdays,Restaurant App,3-4 people,<3km,Asian,Depends on occasion,Mall,Slightly sensitive,Definitely not,Neutral,Slightly important,15%,No impact,Jan-Mar,2,"Hard to find tables, Long delivery time, Limited discounts","Table availability, Group dining deals, Loyalty rewards",Medium,0.93,,153.5,142.76,7.0,1.4,16.0,2,Yes
25-34,10001-20000,Professional,Western Expat,Loyalty program user,Once/month,76.94,Dinner,Weekends,Dine-in,2 people,3-7km,Indian/Pakistani,Depends on occasion,Mall,Very sensitive,Maybe,Somewhat fair,Very important,20%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",4,Hard to find tables,Real-time pricing,High,1.23,78.3,76.94,94.64,0.0,,,4,Yes
45-54,20001-35000,Professional,Arab,Loyal to 1-2,Multiple/week,106.4,Lunch,Weekends,Dine-in,2 people,3-7km,Arabic,Mid-range,Deira,Slightly sensitive,Definitely not,Very unfair,Moderately important,20%,Switch to delivery in heat,Jan-Mar,5,"Limited discounts, High delivery fees, Long delivery time, Long wait times","Table availability, Wait time estimate, Real-time pricing, Low-demand discounts",Medium,1.0,54.1,106.4,106.4,0.0,,,5,No
25-34,5000-10000,Professional,South Asian,Few regulars,Once/week,81.66,Dinner,Both,Dine-in,5+,7-15km,Indian/Pakistani,Budget/Casual,JBR,Very sensitive,Definitely yes,Very unfair,Extremely important,20%,Switch to delivery in heat,Oct-Dec,3,"High delivery fees, High weekend prices","Table availability, Real-time pricing",High,1.2,94.6,81.66,97.99,0.0,,,3,No
18-24,<5000,Student,South Asian,Loyal to 1-2,Rarely,31.15,Dinner,Weekends,Delivery App,2 people,7-15km,Indian/Pakistani,Budget/Casual,Deira,Very sensitive,Probably yes,Unfair,Very important,20%,No impact,"Jul-Sep, Oct-Dec, Apr-Jun",4,"Unpredictable pricing, Long delivery time, Limited discounts, High delivery fees","Low-demand discounts, Personalised discounts, Group dining deals",High,1.16,,31.15,36.13,0.0,8.4,35.0,4,Yes
18-24,<5000,Professional,Western Expat,Loyal to 1-2,2-3/month,20.41,Late Night,Weekdays,Delivery App,2 people,7-15km,Healthy/Vegan,Budget/Casual,Mall,Moderately sensitive,Probably yes,Somewhat fair,Not important,10%,Switch to delivery in heat,Apr-Jun,3,"High delivery fees, Long delivery time, Crowded restaurants",Demand alerts,Medium,0.92,,20.41,18.78,8.0,11.6,52.0,3,No
25-34,20001-35000,Professional,Arab,Few regulars,2-3/month,142.1,Dinner,Both,Takeaway,2 people,3-7km,Indian/Pakistani,Mid-range,JBR,Not sensitive,Maybe,Somewhat fair,Slightly important,10%,Dine-in more during heat,"Jan-Mar, Oct-Dec, Apr-Jun",5,"Limited discounts, High weekend prices, Crowded restaurants, High delivery fees","Table availability, Group dining deals, Wait time estimate, Low-demand discounts",High,1.23,,142.1,174.78,0.0,3.2,18.0,5,Yes
25-34,>35000,Tourist,South Asian,Explorer,Multiple/week,124.72,Lunch,Weekends,Delivery App,Alone,<3km,Arabic,Budget/Casual,DIFC,Slightly sensitive,Probably yes,Very unfair,Very important,>20%,No impact,"Oct-Dec, Apr-Jun",2,"Hard to find tables, Unpredictable pricing","Demand alerts, Group dining deals",Medium,0.87,,124.72,108.51,13.0,2.5,21.0,2,No
18-24,5000-10000,Professional,South Asian,Few regulars,2-3/month,46.85,Late Night,Weekends,Delivery App,Alone,7-15km,Indian/Pakistani,Budget/Casual,Mall,Moderately sensitive,Definitely not,Neutral,Very important,10%,Switch to delivery in heat,Jul-Sep,3,"Long delivery time, High delivery fees, Unpredictable pricing",Low-demand discounts,Medium,0.92,,46.85,43.1,8.0,13.1,46.0,3,Yes
55+,10001-20000,Family,Arab,Loyal to 1-2,2-3/month,254.55,Dinner,Weekends,Dine-in,5+,<3km,Arabic,Premium/Fine Dining,Marina,Moderately sensitive,Definitely yes,Unfair,Very important,10%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jan-Mar",3,"Crowded restaurants, Unpredictable pricing, Limited discounts, Long wait times","Loyalty rewards, Low-demand discounts",High,1.18,95.1,254.55,300.37,0.0,,,3,No
18-24,10001-20000,Student,African,Explorer,Once/week,99.85,Late Night,Both,Delivery App,Alone,7-15km,Indian/Pakistani,Mid-range,Deira,Moderately sensitive,Maybe,Very fair,Very important,20%,No impact,"Oct-Dec, Jan-Mar",4,"Long wait times, Hard to find tables","Demand alerts, Wait time estimate",High,1.21,,99.85,120.82,0.0,7.1,32.0,4,Yes
25-34,10001-20000,Professional,Western Expat,Loyalty program user,Multiple/week,108.38,Lunch,Weekends,Delivery App,Alone,<3km,Western,Depends on occasion,JBR,Moderately sensitive,Maybe,Neutral,Very important,>20%,Outdoor dining in pleasant weather,"Apr-Jun, Jul-Sep, Jan-Mar",3,"Unpredictable pricing, Hard to find tables, Long wait times, High weekend prices","Demand alerts, Table availability, Wait time estimate, Loyalty rewards",Medium,1.05,,108.38,113.8,0.0,1.6,16.0,3,Yes
25-34,<5000,Professional,South Asian,Loyal to 1-2,Once/month,28.95,Dinner,Weekends,Delivery App,3-4 people,3-7km,Healthy/Vegan,Budget/Casual,Business Bay,Very sensitive,Probably not,Very unfair,Not important,20%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",3,"Unpredictable pricing, Crowded restaurants",Low-demand discounts,High,1.06,,28.95,30.69,0.0,3.6,22.0,3,No
18-24,5000-10000,Family,South Asian,Loyal to 1-2,Rarely,122.58,Dinner,Weekends,Delivery App,5+,3-7km,Fast Food,Mid-range,Mall,Not sensitive,Probably not,Neutral,Not important,10%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun",5,"Limited discounts, Crowded restaurants, High weekend prices","Loyalty rewards, Wait time estimate, Personalised discounts, Group dining deals",High,1.25,,122.58,153.22,0.0,3.2,28.0,5,Yes
25-34,20001-35000,Tourist,East Asian,Explorer,Multiple/week,157.95,Lunch,Weekends,Delivery App,2 people,3-7km,Asian,Depends on occasion,Downtown,Moderately sensitive,Maybe,Very fair,Moderately important,15%,Switch to delivery in heat,"Jul-Sep, Jan-Mar",5,"Crowded restaurants, High delivery fees, High weekend prices","Real-time pricing, Low-demand discounts",Medium,1.02,,157.95,161.11,0.0,4.9,29.0,5,Yes
55+,10001-20000,Family,Arab,Few regulars,Once/week,76.6,Lunch,Weekends,Dine-in,Alone,3-7km,Arabic,Budget/Casual,DIFC,Moderately sensitive,Definitely yes,Neutral,Moderately important,15%,No impact,Apr-Jun,4,High weekend prices,Low-demand discounts,Medium,0.95,77.3,76.6,72.77,5.0,,,4,Yes
25-34,5000-10000,Professional,East Asian,Few regulars,Once/week,99.12,Late Night,Both,Dine-in,5+,3-7km,Asian,Budget/Casual,Business Bay,Slightly sensitive,Maybe,Somewhat fair,Slightly important,10%,Switch to delivery in heat,"Oct-Dec, Apr-Jun",5,"Crowded restaurants, Limited discounts, Long wait times, Hard to find tables","Wait time estimate, Personalised discounts",High,1.04,75.2,99.12,103.08,0.0,,,5,Yes
35-44,20001-35000,Family,South Asian,Loyal to 1-2,Multiple/week,160.12,Dinner,Weekends,Delivery App,5+,7-15km,Indian/Pakistani,Budget/Casual,Marina,Slightly sensitive,Probably yes,Very unfair,Moderately important,5%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Apr-Jun",4,"High delivery fees, Long wait times, Unpredictable pricing, Long delivery time","Loyalty rewards, Real-time pricing",High,1.05,,160.12,168.13,0.0,10.4,47.0,4,Yes
55+,5000-10000,Tourist,Western Expat,Few regulars,Multiple/week,42.17,Lunch,Weekdays,Takeaway,2 people,<3km,Fast Food,Budget/Casual,Marina,Moderately sensitive,Definitely not,Neutral,Very important,10%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec, Jul-Sep",5,"High weekend prices, Hard to find tables, High delivery fees","Loyalty rewards, Wait time estimate",Medium,0.89,,42.17,37.53,11.0,2.8,34.0,5,No
25-34,10001-20000,Family,Western Expat,Few regulars,Once/week,98.3,Lunch,Weekends,Dine-in,3-4 people,<3km,Arabic,Mid-range,Mall,Slightly sensitive,Maybe,Very fair,Moderately important,>20%,No impact,"Oct-Dec, Apr-Jun, Jan-Mar",2,"Hard to find tables, Crowded restaurants",Demand alerts,Medium,0.95,76.4,98.3,93.38,5.0,,,2,Yes
35-44,10001-20000,Family,South Asian,Loyal to 1-2,Multiple/week,106.16,Lunch,Weekends,Dine-in,2 people,7-15km,Indian/Pakistani,Depends on occasion,Mall,Very sensitive,Maybe,Somewhat fair,Slightly important,20%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",3,"Hard to find tables, Long delivery time","Group dining deals, Demand alerts",Medium,0.96,61.6,106.16,101.91,4.0,,,3,Yes
18-24,5000-10000,Student,Western Expat,Explorer,Once/week,45.41,Dinner,Weekdays,Delivery App,Alone,>15km,Western,Mid-range,DIFC,Moderately sensitive,Maybe,Somewhat fair,Moderately important,10%,Switch to delivery in heat,"Jul-Sep, Oct-Dec, Jan-Mar",5,"Limited discounts, Hard to find tables, Long delivery time, Crowded restaurants",Loyalty rewards,Medium,1.01,,45.41,45.86,0.0,20.4,68.0,5,No
35-44,5000-10000,Professional,Western Expat,Loyal to 1-2,Once/week,73.83,Lunch,Weekdays,Dine-in,Alone,7-15km,Western,Depends on occasion,Mall,Moderately sensitive,Probably not,Somewhat fair,Extremely important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar",2,Long wait times,"Personalised discounts, Real-time pricing",Medium,1.09,64.4,73.83,80.47,0.0,,,2,Yes
18-24,<5000,Student,South Asian,Explorer,Rarely,45.09,Dinner,Weekdays,Dine-in,2 people,3-7km,Fast Food,Mid-range,Mall,Very sensitive,Definitely yes,Very unfair,Moderately important,20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jan-Mar",4,Long delivery time,Wait time estimate,Medium,0.94,70.5,45.09,42.38,6.0,,,4,No
55+,5000-10000,Family,South Asian,Loyal to 1-2,Once/week,91.16,Breakfast,Both,Delivery App,3-4 people,<3km,Indian/Pakistani,Mid-range,Deira,Moderately sensitive,Maybe,Somewhat fair,Very important,20%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun",4,Hard to find tables,"Group dining deals, Demand alerts, Real-time pricing, Personalised discounts",Medium,0.96,,91.16,87.51,4.0,2.3,19.0,4,Yes
18-24,10001-20000,Student,East Asian,Explorer,Once/week,56.03,Late Night,Both,Dine-in,2 people,7-15km,Arabic,Budget/Casual,Deira,Very sensitive,Probably yes,Unfair,Not important,20%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",3,"Unpredictable pricing, Long delivery time, Hard to find tables","Table availability, Demand alerts, Low-demand discounts",High,1.07,70.4,56.03,59.95,0.0,,,3,No
35-44,>35000,Family,East Asian,Loyalty program user,Multiple/week,629.92,Late Night,Both,Dine-in,5+,<3km,Asian,Premium/Fine Dining,DIFC,Not sensitive,Maybe,Somewhat fair,Very important,5%,Outdoor dining in pleasant weather,Apr-Jun,4,"Limited discounts, Long wait times","Loyalty rewards, Table availability",Medium,1.06,59.8,629.92,667.72,0.0,,,4,Yes
25-34,5000-10000,Professional,Arab,Few regulars,2-3/month,51.21,Lunch,Weekdays,Delivery App,2 people,<3km,Arabic,Budget/Casual,Marina,Moderately sensitive,Definitely yes,Neutral,Extremely important,>20%,Switch to delivery in heat,Oct-Dec,5,"Unpredictable pricing, High delivery fees, Limited discounts, High weekend prices",Wait time estimate,Medium,1.04,,51.21,53.26,0.0,2.2,17.0,5,Yes
35-44,20001-35000,Professional,Western Expat,Explorer,Multiple/week,195.19,Lunch,Weekends,Dine-in,3-4 people,<3km,Healthy/Vegan,Depends on occasion,DIFC,Very sensitive,Probably not,Somewhat fair,Moderately important,20%,No impact,Jul-Sep,5,"Crowded restaurants, Long wait times, Unpredictable pricing",Real-time pricing,Medium,0.93,65.1,195.19,181.53,7.0,,,5,No
25-34,10001-20000,Professional,Western Expat,Few regulars,2-3/month,110.81,Lunch,Weekends,Dine-in,3-4 people,3-7km,Indian/Pakistani,Budget/Casual,Business Bay,Very sensitive,Probably yes,Somewhat fair,Moderately important,>20%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jul-Sep",4,"Crowded restaurants, Unpredictable pricing","Low-demand discounts, Loyalty rewards, Personalised discounts, Table availability",Medium,0.91,49.0,110.81,100.84,9.0,,,4,Yes
55+,>35000,Family,Western Expat,Loyal to 1-2,Multiple/week,349.09,Lunch,Both,Restaurant App,3-4 people,3-7km,Asian,Depends on occasion,Mall,Not sensitive,Probably not,Unfair,Very important,15%,Switch to delivery in heat,"Apr-Jun, Jan-Mar, Jul-Sep",3,"Long wait times, High delivery fees","Loyalty rewards, Personalised discounts, Demand alerts, Table availability",Medium,1.1,,349.09,384.0,0.0,5.8,30.0,3,No
45-54,10001-20000,Tourist,Arab,Explorer,2-3/month,79.03,Breakfast,Weekends,Dine-in,Alone,<3km,Indian/Pakistani,Mid-range,JBR,Very sensitive,Maybe,Neutral,Slightly important,20%,No impact,"Apr-Jun, Oct-Dec",1,"Long delivery time, Long wait times, High weekend prices","Table availability, Group dining deals",Medium,1.01,42.0,79.03,79.82,0.0,,,1,No
18-24,5000-10000,Student,South Asian,Few regulars,2-3/month,76.05,Lunch,Both,Takeaway,2 people,7-15km,Indian/Pakistani,Mid-range,Mall,Very sensitive,Probably yes,Somewhat fair,Very important,>20%,No impact,Apr-Jun,3,"Crowded restaurants, Limited discounts, High weekend prices, Hard to find tables",Group dining deals,Medium,0.94,,76.05,71.49,6.0,13.3,60.0,3,Yes
18-24,<5000,Tourist,Arab,Explorer,Once/month,27.53,Dinner,Weekdays,Delivery App,Alone,<3km,Western,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Somewhat fair,Very important,15%,Switch to delivery in heat,Jan-Mar,4,"Unpredictable pricing, Long delivery time, High weekend prices","Wait time estimate, Personalised discounts, Table availability",Medium,0.91,,27.53,25.05,9.0,1.3,26.0,4,Yes
18-24,<5000,Student,Arab,Few regulars,Once/week,31.03,Dinner,Weekends,Takeaway,2 people,7-15km,Fast Food,Budget/Casual,Deira,Not sensitive,Definitely not,Neutral,Slightly important,15%,Outdoor dining in pleasant weather,"Apr-Jun, Jan-Mar",3,"Long delivery time, Hard to find tables","Table availability, Loyalty rewards, Wait time estimate",High,1.09,,31.03,33.82,0.0,9.4,36.0,3,Yes
25-34,5000-10000,Tourist,South Asian,Explorer,Once/month,127.35,Dinner,Both,Delivery App,5+,<3km,Healthy/Vegan,Depends on occasion,Deira,Moderately sensitive,Definitely yes,Somewhat fair,Not important,15%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",4,High delivery fees,"Group dining deals, Low-demand discounts, Loyalty rewards, Demand alerts",High,1.16,,127.35,147.73,0.0,2.9,25.0,4,Yes
18-24,<5000,Student,South Asian,Loyal to 1-2,Rarely,41.77,Dinner,Weekdays,Delivery App,2 people,>15km,Indian/Pakistani,Mid-range,Deira,Very sensitive,Definitely yes,Unfair,Extremely important,20%,No impact,Oct-Dec,5,"Crowded restaurants, High delivery fees, High weekend prices, Limited discounts",Wait time estimate,Medium,1.01,,41.77,42.19,0.0,23.1,72.0,5,No
25-34,10001-20000,Professional,South Asian,Loyalty program user,Multiple/week,68.3,Dinner,Both,Dine-in,2 people,<3km,Asian,Budget/Casual,Business Bay,Moderately sensitive,Probably yes,Very fair,Moderately important,15%,Switch to delivery in heat,"Apr-Jun, Oct-Dec",4,"Hard to find tables, High delivery fees","Loyalty rewards, Demand alerts, Group dining deals, Table availability",High,1.1,98.2,68.3,75.13,0.0,,,4,Yes
18-24,10001-20000,Professional,Arab,Loyal to 1-2,2-3/month,50.94,Lunch,Both,Restaurant App,2 people,<3km,Western,Budget/Casual,Downtown,Very sensitive,Probably not,Neutral,Moderately important,20%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",2,"Long delivery time, Crowded restaurants, High weekend prices, Unpredictable pricing",Table availability,Medium,1.0,,50.94,50.94,0.0,1.9,19.0,2,No
25-34,20001-35000,Professional,South Asian,Few regulars,2-3/month,143.62,Dinner,Both,Delivery App,2 people,7-15km,Indian/Pakistani,Depends on occasion,Downtown,Slightly sensitive,Definitely not,Somewhat fair,Slightly important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",3,"Crowded restaurants, Limited discounts, Unpredictable pricing, High delivery fees","Real-time pricing, Demand alerts",High,1.22,,143.62,175.22,0.0,10.1,44.0,3,No
25-34,10001-20000,Student,South Asian,Loyal to 1-2,2-3/month,78.03,Lunch,Weekends,Takeaway,Alone,<3km,Asian,Mid-range,JBR,Slightly sensitive,Probably not,Very fair,Slightly important,10%,Outdoor dining in pleasant weather,"Jan-Mar, Apr-Jun, Oct-Dec",4,"Hard to find tables, Long wait times","Real-time pricing, Table availability",Medium,1.04,,78.03,81.15,0.0,1.4,17.0,4,Yes
35-44,10001-20000,Family,South Asian,Few regulars,Once/month,117.89,Breakfast,Both,Delivery App,3-4 people,3-7km,Indian/Pakistani,Mid-range,Mall,Very sensitive,Probably yes,Unfair,Extremely important,>20%,Switch to delivery in heat,Jul-Sep,3,"Unpredictable pricing, High delivery fees, Long delivery time, Long wait times",Group dining deals,Medium,1.05,,117.89,123.78,0.0,5.3,38.0,3,Yes
18-24,<5000,Professional,East Asian,Explorer,Once/week,30.82,Lunch,Weekends,Delivery App,2 people,7-15km,Indian/Pakistani,Budget/Casual,Mall,Moderately sensitive,Probably yes,Unfair,Moderately important,10%,Switch to delivery in heat,Oct-Dec,5,Long delivery time,"Group dining deals, Wait time estimate, Table availability",Medium,1.0,,30.82,30.82,0.0,12.2,42.0,5,Yes
25-34,<5000,Family,Arab,Few regulars,2-3/month,61.77,Breakfast,Both,Delivery App,5+,3-7km,Western,Mid-range,Business Bay,Very sensitive,Definitely yes,Unfair,Moderately important,20%,Switch to delivery in heat,Jul-Sep,4,Unpredictable pricing,Low-demand discounts,Medium,1.0,,61.77,61.77,0.0,4.5,23.0,4,Yes
18-24,10001-20000,Student,Western Expat,Loyal to 1-2,Once/week,123.24,Lunch,Weekends,Delivery App,3-4 people,7-15km,Arabic,Mid-range,JBR,Very sensitive,Probably yes,Very unfair,Very important,10%,Switch to delivery in heat,Apr-Jun,4,Long delivery time,Loyalty rewards,Medium,0.92,,123.24,113.38,8.0,9.4,39.0,4,Yes
35-44,>35000,Family,Arab,Loyal to 1-2,Once/week,375.4,Dinner,Weekends,Delivery App,2 people,3-7km,Arabic,Premium/Fine Dining,DIFC,Very sensitive,Definitely yes,Somewhat fair,Extremely important,5%,No impact,"Jan-Mar, Apr-Jun",4,"Limited discounts, Crowded restaurants, Long wait times, Long delivery time","Low-demand discounts, Demand alerts",High,1.3,,375.4,488.02,0.0,6.4,31.0,4,Yes
